edad,trabajo,estado civil,educación,incumplimiento,saldo,vivienda,préstamo,contacto,día,mes,duración,campaña,días,anterior,resultado,y
59,blue-collar,casado,secundaria,no,57,sí,no,desconocido,5,may,98,1,-1,0,desconocido,no
33,services,casado,secundaria,no,22,sí,no,desconocido,5,may,71,1,-1,0,desconocido,no
56,blue-collar,divorciado,primaria,no,8,sí,no,desconocido,5,may,157,2,-1,0,desconocido,no
48,unemployed,casado,secundaria,no,293,sí,no,desconocido,5,may,243,1,-1,0,desconocido,no
43,services,casado,primaria,no,3,sí,no,desconocido,5,may,186,2,-1,0,desconocido,no
54,blue-collar,casado,primaria,no,348,sí,no,desconocido,5,may,579,2,-1,0,desconocido,no
51,blue-collar,casado,desconocido,no,-19,sí,no,desconocido,5,may,163,2,-1,0,desconocido,no
26,student,soltero,secundaria,no,0,sí,no,desconocido,5,may,610,2,-1,0,desconocido,no
40,management,casado,terciaria,no,-4,sí,no,desconocido,5,may,2033,1,-1,0,desconocido,no
39,management,casado,secundaria,no,18,sí,no,desconocido,5,may,85,1,-1,0,desconocido,no
50,technician,casado,primaria,no,139,no,no,desconocido,5,may,114,2,-1,0,desconocido,no
41,services,casado,secundaria,no,0,sí,no,desconocido,5,may,114,2,-1,0,desconocido,no
51,blue-collar,casado,desconocido,no,1883,sí,no,desconocido,5,may,57,1,-1,0,desconocido,no
60,retired,divorciado,secundaria,no,216,sí,no,desconocido,5,may,238,1,-1,0,desconocido,no
52,blue-collar,casado,secundaria,no,782,sí,no,desconocido,5,may,93,3,-1,0,desconocido,no
48,blue-collar,casado,secundaria,no,904,sí,no,desconocido,5,may,128,2,-1,0,desconocido,no
48,services,casado,desconocido,no,1705,sí,no,desconocido,5,may,107,1,-1,0,desconocido,no
39,technician,soltero,terciaria,no,47,sí,no,desconocido,5,may,181,1,-1,0,desconocido,no
47,services,soltero,secundaria,no,176,sí,no,desconocido,5,may,303,2,-1,0,desconocido,no
40,blue-collar,casado,secundaria,no,1225,sí,no,desconocido,5,may,558,5,-1,0,desconocido,no
45,technician,casado,secundaria,no,86,sí,no,desconocido,5,may,270,1,-1,0,desconocido,no
26,admin.,soltero,secundaria,no,82,sí,no,desconocido,5,may,228,1,-1,0,desconocido,no
52,management,casado,terciaria,no,271,sí,no,desconocido,5,may,99,1,-1,0,desconocido,no
54,technician,casado,secundaria,no,1378,sí,no,desconocido,5,may,240,1,-1,0,desconocido,no
54,admin.,casado,terciaria,no,184,no,no,desconocido,5,may,673,2,-1,0,desconocido,sí
50,blue-collar,casado,primaria,no,0,no,no,desconocido,5,may,233,3,-1,0,desconocido,no
35,blue-collar,casado,secundaria,no,0,sí,no,desconocido,5,may,1056,1,-1,0,desconocido,no
44,services,casado,secundaria,no,1357,sí,sí,desconocido,5,may,250,1,-1,0,desconocido,no
53,entrepreneur,casado,desconocido,no,19,sí,no,desconocido,5,may,252,1,-1,0,desconocido,no
35,retired,soltero,primaria,no,434,no,no,desconocido,5,may,138,1,-1,0,desconocido,no
60,administrative,divorciado,secundaria,no,92,sí,no,desconocido,5,may,130,1,-1,0,desconocido,no
53,administrative,divorciado,secundaria,no,1151,sí,no,desconocido,5,may,412,1,-1,0,desconocido,no
48,unemployed,casado,secundaria,no,41,sí,no,desconocido,5,may,179,2,-1,0,desconocido,no
34,technician,casado,secundaria,no,51,sí,no,desconocido,5,may,19,2,-1,0,desconocido,no
54,services,casado,secundaria,no,214,sí,no,desconocido,5,may,458,2,-1,0,desconocido,no
51,management,casado,secundaria,no,1161,sí,no,desconocido,5,may,717,1,-1,0,desconocido,no
31,services,casado,terciaria,no,37,sí,no,desconocido,5,may,313,1,-1,0,desconocido,no
35,technician,divorciado,secundaria,no,787,sí,no,desconocido,5,may,683,2,-1,0,desconocido,no
35,services,casado,secundaria,no,59,sí,no,desconocido,5,may,1077,1,-1,0,desconocido,no
38,technician,casado,secundaria,no,253,sí,no,desconocido,5,may,416,1,-1,0,desconocido,no
36,admin.,casado,terciaria,no,211,sí,no,desconocido,5,may,146,2,-1,0,desconocido,no
58,retired,casado,primaria,no,235,sí,no,desconocido,5,may,167,1,-1,0,desconocido,no
40,services,divorciado,desconocido,no,4384,sí,no,desconocido,5,may,315,1,-1,0,desconocido,no
54,management,casado,secundaria,no,4080,no,no,desconocido,5,may,140,1,-1,0,desconocido,no
34,blue-collar,soltero,secundaria,no,53,sí,sí,desconocido,5,may,346,1,-1,0,desconocido,no
31,management,soltero,terciaria,no,0,sí,no,desconocido,5,may,562,1,-1,0,desconocido,no
51,retired,casado,secundaria,no,2127,sí,no,desconocido,5,may,172,1,-1,0,desconocido,no
33,management,casado,terciaria,no,377,sí,no,desconocido,5,may,217,1,-1,0,desconocido,no
55,management,casado,terciaria,no,73,sí,no,desconocido,5,may,142,2,-1,0,desconocido,no
42,admin.,casado,secundaria,no,445,sí,no,desconocido,5,may,67,1,-1,0,desconocido,no
34,blue-collar,casado,secundaria,no,243,sí,no,desconocido,5,may,291,1,-1,0,desconocido,no
33,blue-collar,soltero,secundaria,no,307,sí,no,desconocido,5,may,309,2,-1,0,desconocido,no
38,services,casado,secundaria,no,155,sí,no,desconocido,5,may,248,1,-1,0,desconocido,no
50,technician,divorciado,terciaria,no,173,no,sí,desconocido,5,may,98,1,-1,0,desconocido,no
43,management,casado,terciaria,no,400,sí,no,desconocido,5,may,256,1,-1,0,desconocido,no
61,blue-collar,divorciado,primaria,no,1428,sí,no,desconocido,5,may,82,2,-1,0,desconocido,no
47,admin.,casado,secundaria,no,219,sí,no,desconocido,5,may,577,1,-1,0,desconocido,no
48,self-employed,casado,terciaria,no,7,sí,no,desconocido,5,may,286,1,-1,0,desconocido,no
44,blue-collar,casado,secundaria,no,575,sí,no,desconocido,5,may,477,1,-1,0,desconocido,no
35,student,soltero,desconocido,no,298,sí,no,desconocido,5,may,611,2,-1,0,desconocido,no
35,services,casado,secundaria,no,0,sí,no,desconocido,5,may,471,1,-1,0,desconocido,no
50,services,casado,secundaria,no,5699,sí,no,desconocido,5,may,381,2,-1,0,desconocido,no
41,management,casado,terciaria,no,176,sí,sí,desconocido,5,may,42,1,-1,0,desconocido,no
41,management,casado,terciaria,no,517,sí,no,desconocido,5,may,251,1,-1,0,desconocido,no
39,services,soltero,desconocido,no,257,sí,no,desconocido,5,may,408,1,-1,0,desconocido,no
42,retired,casado,secundaria,no,56,sí,no,desconocido,5,may,215,1,-1,0,desconocido,no
38,blue-collar,casado,secundaria,no,-390,sí,no,desconocido,5,may,287,1,-1,0,desconocido,no
53,retired,casado,secundaria,no,330,sí,no,desconocido,5,may,216,2,-1,0,desconocido,no
59,housemaid,divorciado,primaria,no,195,no,no,desconocido,5,may,366,2,-1,0,desconocido,no
36,services,casado,secundaria,no,301,sí,no,desconocido,5,may,210,1,-1,0,desconocido,no
54,blue-collar,casado,primaria,no,-41,sí,no,desconocido,5,may,288,1,-1,0,desconocido,no
40,technician,casado,terciaria,no,483,sí,no,desconocido,5,may,168,1,-1,0,desconocido,no
47,desconocido,casado,desconocido,no,28,no,no,desconocido,5,may,338,2,-1,0,desconocido,no
53,unemployed,casado,desconocido,no,13,no,no,desconocido,5,may,410,3,-1,0,desconocido,no
46,housemaid,casado,primaria,no,965,no,no,desconocido,5,may,177,1,-1,0,desconocido,no
39,management,casado,terciaria,no,378,sí,sí,desconocido,5,may,127,2,-1,0,desconocido,no
40,unemployed,casado,secundaria,no,219,sí,no,desconocido,5,may,357,1,-1,0,desconocido,no
28,blue-collar,casado,primaria,no,324,sí,no,desconocido,5,may,175,1,-1,0,desconocido,no
35,entrepreneur,divorciado,secundaria,no,-69,sí,no,desconocido,5,may,300,1,-1,0,desconocido,no
55,retired,casado,secundaria,no,0,no,sí,desconocido,5,may,136,1,-1,0,desconocido,no
43,technician,divorciado,desconocido,no,205,sí,no,desconocido,5,may,1419,1,-1,0,desconocido,no
48,blue-collar,casado,primaria,no,278,sí,no,desconocido,5,may,125,2,-1,0,desconocido,no
58,management,casado,desconocido,no,1065,sí,no,desconocido,5,may,213,3,-1,0,desconocido,no
33,management,soltero,terciaria,no,34,sí,no,desconocido,5,may,27,1,-1,0,desconocido,no
36,blue-collar,casado,desconocido,no,1033,no,no,desconocido,5,may,238,2,-1,0,desconocido,no
530,services,divorciado,secundaria,no,1467,sí,no,desconocido,5,may,124,1,-1,0,desconocido,no
47,blue-collar,casado,primaria,no,-12,sí,no,desconocido,5,may,18,1,-1,0,desconocido,no
31,services,casado,secundaria,no,388,sí,no,desconocido,5,may,730,2,-1,0,desconocido,no
57,entrepreneur,casado,secundaria,no,294,sí,no,desconocido,5,may,746,2,-1,0,desconocido,no
53,blue-collar,casado,desconocido,no,1827,no,no,desconocido,5,may,121,1,-1,0,desconocido,no
55,blue-collar,casado,primaria,no,627,sí,no,desconocido,5,may,247,1,-1,0,desconocido,no
45,blue-collar,casado,primaria,no,25,sí,no,desconocido,5,may,40,1,-1,0,desconocido,no
53,admin.,divorciado,secundaria,no,315,sí,no,desconocido,5,may,181,2,-1,0,desconocido,no
37,blue-collar,casado,primaria,no,0,sí,no,desconocido,5,may,79,1,-1,0,desconocido,no
44,admin.,divorciado,secundaria,no,66,sí,no,desconocido,5,may,206,1,-1,0,desconocido,no
49,blue-collar,divorciado,primaria,no,-9,sí,sí,desconocido,5,may,389,1,-1,0,desconocido,no
46,technician,casado,secundaria,no,349,sí,sí,desconocido,5,may,127,1,-1,0,desconocido,no
43,entrepreneur,casado,desconocido,no,100,sí,no,desconocido,5,may,702,1,-1,0,desconocido,no
38,admin.,casado,secundaria,no,0,no,no,desconocido,5,may,151,1,-1,0,desconocido,no
43,technician,casado,secundaria,no,434,sí,no,desconocido,5,may,117,1,-1,0,desconocido,no
49,management,casado,terciaria,no,3237,sí,no,desconocido,5,may,232,3,-1,0,desconocido,no
42,management,casado,desconocido,no,275,no,no,desconocido,5,may,408,2,-1,0,desconocido,no
22,blue-collar,soltero,secundaria,no,0,sí,no,desconocido,5,may,179,2,-1,0,desconocido,no
40,management,casado,terciaria,no,207,sí,no,desconocido,5,may,39,1,-1,0,desconocido,no
39,blue-collar,casado,secundaria,no,483,sí,no,desconocido,5,may,282,1,-1,0,desconocido,no
51,services,casado,secundaria,no,2248,sí,no,desconocido,5,may,714,2,-1,0,desconocido,no
49,admin.,casado,secundaria,no,428,sí,no,desconocido,5,may,50,1,-1,0,desconocido,no
53,blue-collar,casado,secundaria,no,0,sí,sí,desconocido,5,may,181,1,-1,0,desconocido,no
34,services,soltero,secundaria,no,0,sí,no,desconocido,5,may,142,1,-1,0,desconocido,no
33,technician,divorciado,secundaria,no,140,sí,no,desconocido,5,may,227,1,-1,0,desconocido,no
50,management,soltero,terciaria,no,297,sí,no,desconocido,5,may,119,1,-1,0,desconocido,no
39,blue-collar,casado,primaria,no,279,sí,no,desconocido,5,may,361,1,-1,0,desconocido,no
59,entrepreneur,divorciado,secundaria,no,901,sí,no,desconocido,5,may,73,3,-1,0,desconocido,no
30,technician,soltero,secundaria,no,2573,sí,no,desconocido,5,may,67,2,-1,0,desconocido,no
36,services,casado,secundaria,no,143,sí,sí,desconocido,5,may,350,1,-1,0,desconocido,no
40,blue-collar,casado,secundaria,no,475,sí,no,desconocido,5,may,332,2,-1,0,desconocido,no
53,blue-collar,casado,secundaria,no,70,sí,no,desconocido,5,may,611,2,-1,0,desconocido,no
34,management,soltero,terciaria,no,318,sí,no,desconocido,5,may,113,2,-1,0,desconocido,no
37,technician,casado,secundaria,no,275,sí,no,desconocido,5,may,132,1,-1,0,desconocido,no
42,management,divorciado,terciaria,no,742,sí,no,desconocido,5,may,58,3,-1,0,desconocido,no
41,entrepreneur,casado,primaria,no,236,sí,no,desconocido,5,may,151,1,-1,0,desconocido,no
30,student,soltero,terciaria,no,25,sí,no,desconocido,5,may,89,2,-1,0,desconocido,no
37,management,soltero,terciaria,no,600,sí,no,desconocido,5,may,152,1,-1,0,desconocido,no
39,admin.,divorciado,secundaria,no,-349,sí,no,desconocido,5,may,611,2,-1,0,desconocido,no
41,blue-collar,casado,primaria,no,183,sí,sí,desconocido,5,may,110,2,-1,0,desconocido,no
40,blue-collar,casado,primaria,no,0,sí,no,desconocido,5,may,463,1,-1,0,desconocido,no
42,management,soltero,terciaria,no,0,sí,sí,desconocido,5,may,562,2,-1,0,desconocido,sí
40,blue-collar,divorciado,primaria,no,0,sí,no,desconocido,5,may,962,1,-1,0,desconocido,no
57,technician,casado,secundaria,no,1078,sí,no,desconocido,5,may,10,4,-1,0,desconocido,no
56,entrepreneur,divorciado,secundaria,no,155,no,no,desconocido,5,may,118,3,-1,0,desconocido,no
37,admin.,casado,secundaria,no,190,sí,no,desconocido,5,may,92,2,-1,0,desconocido,no
59,retired,casado,secundaria,no,319,sí,no,desconocido,5,may,143,3,-1,0,desconocido,no
39,services,divorciado,secundaria,no,-185,sí,no,desconocido,5,may,189,3,-1,0,desconocido,no
49,services,casado,secundaria,no,47,no,no,desconocido,5,may,234,2,-1,0,desconocido,no
38,services,soltero,secundaria,no,570,sí,no,desconocido,5,may,75,2,-1,0,desconocido,no
36,self-employed,casado,terciaria,no,19,no,no,desconocido,5,may,189,2,-1,0,desconocido,no
50,blue-collar,casado,primaria,no,61,sí,no,desconocido,5,may,621,3,-1,0,desconocido,no
41,admin.,casado,secundaria,no,-62,sí,sí,desconocido,5,may,55,2,-1,0,desconocido,no
54,technician,casado,terciaria,no,258,no,no,desconocido,5,may,310,4,-1,0,desconocido,no
58,blue-collar,casado,primaria,no,76,sí,no,desconocido,5,may,156,2,-1,0,desconocido,no
30,blue-collar,soltero,secundaria,no,0,sí,no,desconocido,5,may,5,2,-1,0,desconocido,no
33,admin.,soltero,secundaria,no,352,sí,no,desconocido,5,may,225,2,-1,0,desconocido,no
